recid,idtruth
GECO012431,rec-000058
GECO014977,rec-000058
GECO014739,rec-000059
GECO002425,rec-000060
GECO005268,rec-000060
GECO006039,rec-000060
GECO013148,rec-000060
GECO002568,rec-000061
GECO006163,rec-000061
GECO006326,rec-000061
GECO007089,rec-000061
GECO008145,rec-000061
GECO008534,rec-000061
GECO013133,rec-000062
GECO002306,rec-000063
GECO008069,rec-000064
GECO003302,rec-000065
GECO001611,rec-000066
GECO010569,rec-000067
GECO014512,rec-000068
GECO004505,rec-000069
GECO004617,rec-000069
GECO005838,rec-000069
GECO008853,rec-000069
GECO010063,rec-000069
GECO000173,rec-000070
GECO004580,rec-000070
GECO014348,rec-000070
GECO001983,rec-000071
GECO004210,rec-000072
GECO007464,rec-000073
GECO010863,rec-000074
GECO013771,rec-000075
GECO013808,rec-000075
GECO004970,rec-000076
GECO007386,rec-000076
GECO010696,rec-000076
GECO010703,rec-000076
GECO012331,rec-000076
GECO013454,rec-000076
GECO010179,rec-000077
GECO010505,rec-000077
GECO002034,rec-000078
GECO001272,rec-000079
GECO007087,rec-000079
GECO013123,rec-000079
GECO014936,rec-000079
GECO009830,rec-000080
GECO005514,rec-000081
GECO006573,rec-000081
GECO008954,rec-000081
GECO000719,rec-000082
GECO003920,rec-000082
GECO005492,rec-000082
GECO008361,rec-000083
GECO012406,rec-000083
GECO011289,rec-000084
GECO014057,rec-000085
GECO008391,rec-000086
GECO008437,rec-000087
GECO006145,rec-000088
GECO010575,rec-000088
GECO011041,rec-000088
GECO013098,rec-000088
GECO000892,rec-000089
GECO011491,rec-000089
GECO012134,rec-000089
GECO012309,rec-000089
GECO013912,rec-000089
GECO003914,rec-000090
GECO006354,rec-000090
GECO010025,rec-000090
GECO012444,rec-000091
GECO001996,rec-000092
GECO006115,rec-000092
GECO012047,rec-000092
GECO009871,rec-000093
GECO013448,rec-000093
GECO014690,rec-000093
GECO000697,rec-000094
GECO003689,rec-000094
GECO008138,rec-000094
GECO008271,rec-000094
GECO008412,rec-000094
GECO012168,rec-000094
GECO013136,rec-000095
GECO000302,rec-000096
GECO009980,rec-000097
GECO014487,rec-000097
GECO002144,rec-000098
GECO006173,rec-000098
GECO012501,rec-000098
GECO013235,rec-000098
GECO007390,rec-000099
GECO003321,rec-000100
GECO002457,rec-000101
GECO004645,rec-000101
GECO006497,rec-000102
GECO001559,rec-000103
GECO008760,rec-000103
GECO012284,rec-000103
GECO014452,rec-000103
GECO006147,rec-000104
GECO003185,rec-000105
GECO008188,rec-000105
GECO009194,rec-000105
GECO009988,rec-000105
GECO013116,rec-000105
GECO000839,rec-000106
GECO006576,rec-000106
GECO009521,rec-000106
GECO012304,rec-000106
GECO006214,rec-000107
GECO003132,rec-000108
GECO000959,rec-000109
GECO000735,rec-000110
GECO004809,rec-000110
GECO007338,rec-000110
GECO008180,rec-000110
GECO011698,rec-000110
GECO014928,rec-000110
GECO010506,rec-000111
GECO002540,rec-000112
GECO013125,rec-000112
GECO007476,rec-000113
GECO010106,rec-000114
GECO001782,rec-000115
GECO003285,rec-000116
GECO002462,rec-000117
GECO009019,rec-000118
GECO004206,rec-000119
GECO002549,rec-000120
GECO008394,rec-000121
GECO006390,rec-000122
GECO006757,rec-000122
GECO010626,rec-000122
GECO002534,rec-000123
GECO003717,rec-000124
GECO003339,rec-000125
GECO002714,rec-000126
GECO003721,rec-000127
GECO010049,rec-000128
GECO014557,rec-000129
GECO011635,rec-000130
GECO001493,rec-000131
GECO005617,rec-000131
GECO003379,rec-000132
GECO002013,rec-000133
GECO003391,rec-000133
GECO006127,rec-000133
GECO010934,rec-000133
GECO001172,rec-000134
GECO004093,rec-000134
GECO006601,rec-000134
GECO012182,rec-000134
GECO013088,rec-000134
GECO007503,rec-000135
GECO000101,rec-000136
GECO003569,rec-000136
GECO007733,rec-000136
GECO012324,rec-000136
GECO002720,rec-000137
GECO003242,rec-000137
GECO008204,rec-000137
GECO011320,rec-000137
GECO011353,rec-000137
GECO000812,rec-000138
GECO002120,rec-000138
GECO012543,rec-000138
GECO013152,rec-000138
GECO012724,rec-000139
GECO004476,rec-000140
GECO005356,rec-000140
GECO006902,rec-000140
GECO010932,rec-000140
GECO007860,rec-000141
GECO014808,rec-000142
GECO005379,rec-000143
GECO008522,rec-000143
GECO009179,rec-000143
GECO009982,rec-000143
GECO003654,rec-000144
GECO010247,rec-000145
GECO009438,rec-000146
GECO014294,rec-000146
GECO014814,rec-000146
GECO001670,rec-000147
GECO003147,rec-000147
GECO003851,rec-000147
GECO007170,rec-000147
GECO007589,rec-000147
GECO010029,rec-000147
GECO011948,rec-000147
GECO013615,rec-000147
GECO002208,rec-000148
GECO014578,rec-000149
GECO014515,rec-000150
GECO005992,rec-000151
GECO007066,rec-000151
GECO011744,rec-000151
GECO001033,rec-000152
GECO005526,rec-000152
GECO013973,rec-000152
GECO005510,rec-000153
GECO008603,rec-000154
GECO005724,rec-000155
GECO003376,rec-000156
GECO013248,rec-000157
GECO006835,rec-000158
GECO014777,rec-000159
GECO006491,rec-000160
GECO010729,rec-000161
GECO000776,rec-000162
GECO005843,rec-000162
GECO003822,rec-000163
GECO006781,rec-000163
GECO012856,rec-000163
GECO013605,rec-000163
GECO004779,rec-000164
GECO006250,rec-000165
GECO005678,rec-000166
GECO006806,rec-000167
GECO003427,rec-000168
GECO004343,rec-000168
GECO004991,rec-000168
GECO011956,rec-000168
GECO000333,rec-000169
GECO002098,rec-000169
GECO008320,rec-000169
GECO004591,rec-000170
GECO014798,rec-000171
GECO002130,rec-000172
GECO002603,rec-000172
GECO004463,rec-000172
GECO010881,rec-000172
GECO012356,rec-000172
GECO003706,rec-000173
GECO012946,rec-000174
GECO011514,rec-000175
GECO011693,rec-000175
GECO012228,rec-000176
GECO002944,rec-000177
GECO009272,rec-000178
GECO012180,rec-000179
GECO014292,rec-000179
GECO003875,rec-000180
GECO005030,rec-000180
GECO006224,rec-000180
GECO013007,rec-000180
GECO000252,rec-000181
GECO001835,rec-000181
GECO005427,rec-000181
GECO007068,rec-000181
GECO008918,rec-000181
GECO012777,rec-000181
GECO013502,rec-000181
GECO003880,rec-000182
GECO008205,rec-000183
GECO005194,rec-000184
GECO013475,rec-000185
GECO001150,rec-000186
GECO002366,rec-000186
GECO003991,rec-000186
GECO007850,rec-000186
GECO014656,rec-000186
GECO001164,rec-000187
GECO001765,rec-000187
GECO002273,rec-000187
GECO003620,rec-000187
GECO007153,rec-000187
GECO010355,rec-000187
GECO011134,rec-000187
GECO012310,rec-000187
GECO004797,rec-000188
GECO010981,rec-000189
GECO000639,rec-000190
GECO012097,rec-000191
GECO011765,rec-000192
GECO006053,rec-000193
GECO006991,rec-000193
GECO009167,rec-000193
GECO009695,rec-000194
GECO000025,rec-000195
GECO000642,rec-000195
GECO005011,rec-000195
GECO007000,rec-000195
GECO008946,rec-000195
GECO009851,rec-000195
GECO013672,rec-000196
GECO006302,rec-000197
GECO008898,rec-000197
GECO011405,rec-000197
GECO010587,rec-000198
GECO008851,rec-000199
GECO006048,rec-000200
GECO006934,rec-000200
GECO008574,rec-000200
GECO002766,rec-000201
GECO011181,rec-000202
GECO014803,rec-000203
GECO001297,rec-000204
GECO003690,rec-000204
GECO003768,rec-000204
GECO006454,rec-000204
GECO014834,rec-000204
GECO009878,rec-000205
GECO005524,rec-000206
GECO009377,rec-000206
GECO009609,rec-000206
GECO011312,rec-000206
GECO011612,rec-000206
GECO000294,rec-000207
GECO003663,rec-000208
GECO006351,rec-000208
GECO007010,rec-000208
GECO011281,rec-000208
GECO004133,rec-000209
GECO005397,rec-000209
GECO011594,rec-000209
GECO011864,rec-000209
GECO014340,rec-000210
GECO003161,rec-000211
GECO002523,rec-000212
GECO003472,rec-000213
GECO002589,rec-000214
GECO003498,rec-000214
GECO009567,rec-000214
GECO011568,rec-000214
GECO007187,rec-000215
GECO008010,rec-000215
GECO014778,rec-000215
GECO007092,rec-000216
GECO011877,rec-000217
GECO000448,rec-000218
GECO002467,rec-000219
GECO013956,rec-000220
GECO001750,rec-000221
GECO001387,rec-000222
GECO008601,rec-000222
GECO000127,rec-000223
GECO012055,rec-000223
GECO011114,rec-000224
GECO007878,rec-000225
GECO005051,rec-000226
GECO006954,rec-000226
GECO009289,rec-000226
GECO015020,rec-000227
GECO007813,rec-000228
GECO003269,rec-000229
GECO010219,rec-000229
GECO012275,rec-000229
GECO014573,rec-000229
GECO000593,rec-000230
GECO012044,rec-000230
GECO013226,rec-000230
GECO014321,rec-000230
GECO014308,rec-000231
GECO014562,rec-000232
GECO006410,rec-000233
GECO012258,rec-000234
GECO003145,rec-000235
GECO011779,rec-000235
GECO003324,rec-000236
GECO008620,rec-000236
GECO011838,rec-000236
GECO013948,rec-000236
GECO001995,rec-000237
GECO002710,rec-000237
GECO004359,rec-000237
GECO010306,rec-000237
GECO010785,rec-000237
GECO011232,rec-000237
GECO007040,rec-000238
GECO009078,rec-000239
GECO008442,rec-000240
GECO002012,rec-000241
GECO003375,rec-000242
GECO005065,rec-000243
GECO013096,rec-000244
GECO001433,rec-000245
GECO001868,rec-000246
GECO007459,rec-000247
GECO014524,rec-000248
GECO014811,rec-000249
GECO001367,rec-000250
GECO000019,rec-000251
GECO013869,rec-000252
GECO005075,rec-000253
GECO007674,rec-000254
GECO001101,rec-000255
GECO001581,rec-000255
GECO007138,rec-000255
GECO011067,rec-000255
GECO012613,rec-000256
GECO002270,rec-000257
GECO003130,rec-000258
GECO002082,rec-000259
GECO002569,rec-000259
GECO007358,rec-000259
GECO011357,rec-000259
GECO000726,rec-000260
GECO001832,rec-000260
GECO002861,rec-000260
GECO005719,rec-000260
GECO005753,rec-000260
GECO005626,rec-000261
GECO001599,rec-000262
GECO005198,rec-000262
GECO009827,rec-000262
GECO012741,rec-000262
GECO014729,rec-000262
GECO002187,rec-000263
GECO001526,rec-000264
GECO001554,rec-000265
GECO000564,rec-000266
GECO005697,rec-000266
GECO008791,rec-000266
GECO011458,rec-000266
GECO007129,rec-000267
GECO005553,rec-000268
GECO000395,rec-000269
GECO003707,rec-000269
GECO010022,rec-000269
GECO014122,rec-000269
GECO000174,rec-000270
GECO006930,rec-000271
GECO014601,rec-000272
GECO004978,rec-000273
GECO009026,rec-000273
GECO000210,rec-000274
GECO001527,rec-000275
GECO008081,rec-000276
GECO001217,rec-000277
GECO002557,rec-000277
GECO010154,rec-000277
GECO013380,rec-000277
GECO002104,rec-000278
GECO001605,rec-000279
GECO007145,rec-000280
GECO008147,rec-000280
GECO011516,rec-000280
GECO014298,rec-000281
GECO002271,rec-000282
GECO009904,rec-000283
GECO000141,rec-000284
GECO010739,rec-000285
GECO000723,rec-000286
GECO002495,rec-000287
GECO002907,rec-000288
GECO003662,rec-000288
GECO007127,rec-000288
GECO010779,rec-000288
GECO013566,rec-000288
GECO013711,rec-000288
GECO003334,rec-000289
GECO000575,rec-000290
GECO005452,rec-000291
GECO009909,rec-000292
GECO009285,rec-000293
GECO011518,rec-000294
GECO006153,rec-000295
GECO001511,rec-000296
GECO005648,rec-000296
GECO005692,rec-000296
GECO007012,rec-000296
GECO007837,rec-000296
GECO014721,rec-000296
GECO005690,rec-000297
GECO007277,rec-000297
GECO010531,rec-000297
GECO014028,rec-000297
GECO014751,rec-000297
GECO005818,rec-000298
GECO001610,rec-000299
GECO005880,rec-000299
GECO010781,rec-000299
GECO011585,rec-000299
GECO001273,rec-000300
GECO004134,rec-000300
GECO007650,rec-000300
GECO009986,rec-000300
GECO005780,rec-000301
GECO007509,rec-000302
GECO001248,rec-000303
GECO001689,rec-000303
GECO004886,rec-000303
GECO005487,rec-000303
GECO007353,rec-000303
GECO014600,rec-000304
GECO002575,rec-000305
GECO001165,rec-000306
GECO004032,rec-000306
GECO005669,rec-000306
GECO001773,rec-000307
GECO000555,rec-000308
GECO001788,rec-000308
GECO003177,rec-000308
GECO007935,rec-000308
GECO013906,rec-000308
GECO001064,rec-000309
GECO003855,rec-000309
GECO012357,rec-000309
GECO012678,rec-000309
GECO014762,rec-000309
GECO004832,rec-000310
GECO009593,rec-000310
GECO011055,rec-000310
GECO011931,rec-000310
GECO014532,rec-000310
GECO007499,rec-000311
GECO014931,rec-000312
GECO010771,rec-000313
GECO006324,rec-000314
GECO009720,rec-000315
GECO006517,rec-000316
GECO006798,rec-000316
GECO015010,rec-000316
GECO001375,rec-000317
GECO005576,rec-000317
GECO005871,rec-000317
GECO006857,rec-000317
GECO008043,rec-000317
GECO008313,rec-000317
GECO010867,rec-000317
GECO005781,rec-000318
GECO011372,rec-000319
GECO008170,rec-000320
GECO001010,rec-000321
GECO003691,rec-000321
GECO007742,rec-000321
GECO008489,rec-000321
GECO011896,rec-000321
GECO005827,rec-000322
GECO005776,rec-000323
GECO010818,rec-000323
GECO013978,rec-000323
GECO001664,rec-000324
GECO002390,rec-000324
GECO005325,rec-000324
GECO007179,rec-000324
GECO002916,rec-000325
GECO006768,rec-000326
GECO013101,rec-000327
GECO007876,rec-000328
GECO012341,rec-000328
GECO013429,rec-000328
GECO010172,rec-000329
GECO008234,rec-000330
GECO014322,rec-000331
GECO002334,rec-000332
GECO003810,rec-000332
GECO004626,rec-000332
GECO005278,rec-000332
GECO007250,rec-000332
GECO011715,rec-000332
GECO012026,rec-000332
GECO012273,rec-000332
GECO006603,rec-000333
GECO009375,rec-000333
GECO006830,rec-000334
GECO008219,rec-000334
GECO008662,rec-000334
GECO012443,rec-000334
GECO013802,rec-000334
GECO001846,rec-000335
GECO002277,rec-000335
GECO010019,rec-000335
GECO014953,rec-000335
GECO003670,rec-000336
GECO004228,rec-000336
GECO005975,rec-000336
GECO009570,rec-000336
GECO010951,rec-000336
GECO005981,rec-000337
GECO007280,rec-000337
GECO011694,rec-000337
GECO015001,rec-000337
GECO001274,rec-000338
GECO000759,rec-000339
GECO004033,rec-000339
GECO004067,rec-000339
GECO006211,rec-000339
GECO007232,rec-000339
GECO009373,rec-000339
GECO002406,rec-000340
GECO003062,rec-000340
GECO008163,rec-000340
GECO013216,rec-000340
GECO014162,rec-000340
GECO000243,rec-000341
GECO006988,rec-000341
GECO008395,rec-000341
GECO008524,rec-000341
GECO011822,rec-000341
GECO000356,rec-000342
GECO006044,rec-000342
GECO006734,rec-000342
GECO009418,rec-000342
GECO005441,rec-000343
GECO009879,rec-000343
GECO010839,rec-000343
GECO004191,rec-000344
GECO005902,rec-000344
GECO006222,rec-000344
GECO011071,rec-000344
GECO011829,rec-000344
GECO012136,rec-000344
GECO004740,rec-000345
GECO002102,rec-000346
GECO002631,rec-000346
GECO006130,rec-000346
GECO011710,rec-000346
GECO012283,rec-000346
GECO013379,rec-000346
GECO000927,rec-000347
GECO009096,rec-000347
GECO010413,rec-000348
GECO010804,rec-000348
GECO003695,rec-000349
GECO009680,rec-000350
GECO011798,rec-000351
GECO002865,rec-000352
GECO009544,rec-000352
GECO010516,rec-000352
GECO013718,rec-000352
GECO007936,rec-000353
GECO010573,rec-000353
GECO014354,rec-000353
GECO007020,rec-000354
GECO002922,rec-000355
GECO004656,rec-000355
GECO010116,rec-000355
GECO014008,rec-000355
GECO002330,rec-000356
GECO003749,rec-000356
GECO011038,rec-000356
GECO014267,rec-000356
GECO000907,rec-000357
GECO000758,rec-000358
GECO001892,rec-000359
GECO006671,rec-000360
GECO002387,rec-000361
GECO004271,rec-000361
GECO007737,rec-000361
GECO014185,rec-000361
GECO014330,rec-000361
GECO007824,rec-000362
GECO004393,rec-000363
GECO005966,rec-000363
GECO007874,rec-000363
GECO013208,rec-000363
GECO004932,rec-000364
GECO002810,rec-000365
GECO006294,rec-000365
GECO006505,rec-000365
GECO003480,rec-000366
GECO006871,rec-000366
GECO007932,rec-000366
GECO009656,rec-000366
GECO013236,rec-000367
GECO009528,rec-000368
GECO013317,rec-000369
GECO013399,rec-000370
GECO001006,rec-000371
GECO001639,rec-000371
GECO006634,rec-000371
GECO008133,rec-000371
GECO001303,rec-000372
GECO014644,rec-000373
GECO000473,rec-000374
GECO000902,rec-000375
GECO004764,rec-000376
GECO008674,rec-000377
GECO011155,rec-000377
GECO000502,rec-000378
GECO004437,rec-000379
GECO006719,rec-000380
GECO009626,rec-000380
GECO011796,rec-000380
GECO012354,rec-000380
GECO014145,rec-000380
GECO013309,rec-000381
GECO003740,rec-000382
GECO008762,rec-000383
GECO013373,rec-000384
GECO006272,rec-000385
GECO009628,rec-000386
GECO000941,rec-000387
GECO011332,rec-000387
GECO008039,rec-000388
GECO001321,rec-000389
GECO007190,rec-000389
GECO003077,rec-000390
GECO009731,rec-000391
GECO002721,rec-000392
GECO003041,rec-000392
GECO005028,rec-000392
GECO007657,rec-000392
GECO007107,rec-000393
GECO007683,rec-000394
GECO007185,rec-000395
GECO008372,rec-000395
GECO012550,rec-000395
GECO014052,rec-000395
GECO005930,rec-000396
GECO002037,rec-000397
GECO000029,rec-000398
GECO001236,rec-000399
GECO004509,rec-000400
GECO000565,rec-000401
GECO002623,rec-000402
GECO004511,rec-000402
GECO012769,rec-000402
GECO000312,rec-000403
GECO003234,rec-000403
GECO008893,rec-000403
GECO009273,rec-000403
GECO002376,rec-000404
GECO007866,rec-000404
GECO008673,rec-000404
GECO012896,rec-000404
GECO010472,rec-000405
GECO008208,rec-000406
GECO010499,rec-000407
GECO012483,rec-000408
GECO012831,rec-000409
GECO006886,rec-000410
GECO014945,rec-000410
GECO015030,rec-000410
GECO013271,rec-000411
GECO011840,rec-000412
GECO000197,rec-000413
GECO008253,rec-000413
GECO009615,rec-000413
GECO011076,rec-000413
GECO006704,rec-000414
GECO010797,rec-000414
GECO014263,rec-000414
GECO014980,rec-000414
GECO007487,rec-000415
GECO010336,rec-000415
GECO011901,rec-000415
GECO014540,rec-000416
GECO013916,rec-000417
GECO006450,rec-000418
GECO003650,rec-000419
GECO002191,rec-000420
GECO002380,rec-000421
GECO008408,rec-000421
GECO012089,rec-000421
GECO014971,rec-000421
GECO009777,rec-000422
GECO013706,rec-000423
GECO001506,rec-000424
GECO002083,rec-000424
GECO002824,rec-000424
GECO006746,rec-000424
GECO010120,rec-000425
GECO000056,rec-000426
GECO010281,rec-000426
GECO013579,rec-000426
GECO013369,rec-000427
GECO013328,rec-000428
GECO000251,rec-000429
GECO010196,rec-000430
GECO009076,rec-000431
GECO012255,rec-000432
GECO007861,rec-000433
GECO007675,rec-000434
GECO007707,rec-000435
GECO008223,rec-000436
GECO007517,rec-000437
GECO008879,rec-000437
GECO013645,rec-000437
GECO014108,rec-000437
GECO005503,rec-000438
GECO006997,rec-000439
GECO011095,rec-000440
GECO002940,rec-000441
GECO003240,rec-000442
GECO006842,rec-000442
GECO012274,rec-000442
GECO003515,rec-000443
GECO000982,rec-000444
GECO006903,rec-000444
GECO009311,rec-000444
GECO013033,rec-000444
GECO013117,rec-000444
GECO004244,rec-000445
GECO004305,rec-000446
GECO010137,rec-000447
GECO001753,rec-000448
GECO005921,rec-000448
GECO005976,rec-000448
GECO009663,rec-000448
GECO014587,rec-000448
GECO007533,rec-000449
GECO007964,rec-000449
GECO009850,rec-000449
GECO013139,rec-000449
GECO009212,rec-000450
GECO011640,rec-000451
GECO012417,rec-000451
GECO013319,rec-000451
GECO002141,rec-000452
GECO004796,rec-000453
GECO001388,rec-000454
GECO001759,rec-000454
GECO008125,rec-000454
GECO013150,rec-000454
GECO013770,rec-000454
GECO014911,rec-000454
GECO000673,rec-000455
GECO011553,rec-000455
GECO012554,rec-000455
GECO004801,rec-000456
GECO007631,rec-000456
GECO009004,rec-000456
GECO011999,rec-000456
GECO008257,rec-000457
GECO007497,rec-000458
GECO008934,rec-000459
GECO005072,rec-000460
GECO000453,rec-000461
GECO004451,rec-000461
GECO008961,rec-000461
GECO005659,rec-000462
GECO008520,rec-000462
GECO012889,rec-000462
GECO003767,rec-000463
GECO006574,rec-000463
GECO011713,rec-000463
GECO000831,rec-000464
GECO002850,rec-000465
GECO004410,rec-000465
GECO006119,rec-000465
GECO007480,rec-000465
GECO008949,rec-000465
GECO010012,rec-000465
GECO007417,rec-000466
GECO004701,rec-000467
GECO005095,rec-000468
GECO012350,rec-000468
GECO014460,rec-000468
GECO007937,rec-000469
GECO011725,rec-000469
GECO012874,rec-000469
GECO013095,rec-000469
GECO007136,rec-000470
GECO008551,rec-000471
GECO008576,rec-000471
GECO009466,rec-000471
GECO010246,rec-000471
GECO011235,rec-000471
GECO013327,rec-000471
GECO008669,rec-000472
GECO010277,rec-000473
GECO000660,rec-000474
GECO007332,rec-000474
GECO014368,rec-000474
GECO005203,rec-000475
GECO003972,rec-000476
GECO007419,rec-000476
GECO009085,rec-000476
GECO009476,rec-000476
GECO011875,rec-000476
GECO000594,rec-000477
GECO004968,rec-000477
GECO006782,rec-000477
GECO008820,rec-000477
GECO010858,rec-000477
GECO008036,rec-000478
GECO005545,rec-000479
GECO008331,rec-000480
GECO009062,rec-000480
GECO010145,rec-000480
GECO014369,rec-000480
GECO008486,rec-000481
GECO003043,rec-000482
GECO008595,rec-000482
GECO012582,rec-000482
GECO000929,rec-000483
GECO011854,rec-000484
GECO002751,rec-000485
GECO009901,rec-000486
GECO001079,rec-000487
GECO008813,rec-000487
GECO008919,rec-000487
GECO008944,rec-000487
GECO014071,rec-000488
GECO002875,rec-000489
GECO005215,rec-000489
GECO011940,rec-000489
GECO003015,rec-000490
GECO014630,rec-000491
GECO006874,rec-000492
GECO001742,rec-000493
GECO007116,rec-000493
GECO008678,rec-000493
GECO001567,rec-000494
GECO012171,rec-000495
GECO000754,rec-000496
GECO009159,rec-000496
GECO010159,rec-000496
GECO011866,rec-000496
GECO012388,rec-000496
GECO000998,rec-000497
GECO003754,rec-000498
GECO011246,rec-000499
GECO006646,rec-000500
GECO005932,rec-000501
GECO006709,rec-000501
GECO008443,rec-000501
GECO014661,rec-000501
GECO001652,rec-000502
GECO008677,rec-000502
GECO011069,rec-000502
GECO012056,rec-000502
GECO000468,rec-000503
GECO004076,rec-000503
GECO014053,rec-000503
GECO005222,rec-000504
GECO002929,rec-000505
GECO014243,rec-000505
GECO014981,rec-000506
GECO000160,rec-000507
GECO013171,rec-000508
GECO000868,rec-000509
GECO001729,rec-000509
GECO009848,rec-000509
GECO013102,rec-000509
GECO013444,rec-000509
GECO006306,rec-000510
GECO010409,rec-000511
GECO002090,rec-000512
GECO003323,rec-000512
GECO006878,rec-000512
GECO008400,rec-000512
GECO009937,rec-000512
GECO014442,rec-000512
GECO012779,rec-000513
GECO006428,rec-000514
GECO007245,rec-000515
GECO004608,rec-000516
GECO010329,rec-000517
GECO011602,rec-000518
GECO005239,rec-000519
GECO006624,rec-000520
GECO001576,rec-000521
GECO000736,rec-000522
GECO009975,rec-000522
GECO010422,rec-000522
GECO013223,rec-000522
GECO001149,rec-000523
GECO002717,rec-000523
GECO003830,rec-000523
GECO007106,rec-000523
GECO007532,rec-000523
GECO009502,rec-000523
GECO010850,rec-000523
GECO001085,rec-000524
GECO001543,rec-000525
GECO000540,rec-000526
GECO010962,rec-000527
GECO000528,rec-000528
GECO005374,rec-000528
GECO006203,rec-000528
GECO001612,rec-000529
GECO001789,rec-000529
GECO002739,rec-000529
GECO009853,rec-000529
GECO011225,rec-000529
GECO011364,rec-000529
GECO004710,rec-000530
GECO005728,rec-000530
GECO005756,rec-000530
GECO006398,rec-000530
GECO006679,rec-000530
GECO003918,rec-000531
GECO005867,rec-000531
GECO007366,rec-000531
GECO010507,rec-000531
GECO012079,rec-000531
GECO001214,rec-000532
GECO006449,rec-000532
GECO008146,rec-000532
GECO008682,rec-000532
GECO009215,rec-000532
GECO002840,rec-000533
GECO008768,rec-000533
GECO009314,rec-000533
GECO011532,rec-000533
GECO011892,rec-000533
GECO014597,rec-000533
GECO011978,rec-000534
GECO001981,rec-000535
GECO005512,rec-000536
GECO002779,rec-000537
GECO009991,rec-000537
GECO013621,rec-000537
GECO001382,rec-000538
GECO000609,rec-000539
GECO002627,rec-000539
GECO006411,rec-000539
GECO011729,rec-000539
GECO002541,rec-000540
GECO006821,rec-000541
GECO005235,rec-000542
GECO009275,rec-000543
GECO012358,rec-000544
GECO003443,rec-000545
GECO007217,rec-000545
GECO008281,rec-000545
GECO011528,rec-000545
GECO012172,rec-000545
GECO014533,rec-000545
GECO014395,rec-000546
GECO007816,rec-000547
GECO001774,rec-000548
GECO004226,rec-000548
GECO006502,rec-000548
GECO009658,rec-000548
GECO007708,rec-000549
GECO011455,rec-000550
GECO005721,rec-000551
GECO008104,rec-000551
GECO009712,rec-000551
GECO011900,rec-000551
GECO005466,rec-000552
GECO007405,rec-000553
GECO013409,rec-000554
GECO009131,rec-000555
GECO009364,rec-000555
GECO011780,rec-000555
GECO012359,rec-000555
GECO014187,rec-000555
GECO013304,rec-000556
GECO007584,rec-000557
GECO011202,rec-000558
GECO003097,rec-000559
GECO001413,rec-000560
GECO007465,rec-000560
GECO009420,rec-000560
GECO013060,rec-000560
GECO008868,rec-000561
GECO005796,rec-000562
GECO003311,rec-000563
GECO012607,rec-000563
GECO002759,rec-000564
GECO003779,rec-000565
GECO005824,rec-000565
GECO011335,rec-000565
GECO012459,rec-000565
GECO012627,rec-000565
GECO014353,rec-000565
GECO000072,rec-000566
GECO002762,rec-000566
GECO000857,rec-000567
GECO005699,rec-000568
GECO002068,rec-000569
