#NAME,#NAME
#VALUE,#VALUE
#VALUE,#VALUE
#VALUE,#VALUE
#VALUE,#VALUE
#VALUE,#VALUE
#VALUE,#VALUE
#VALUE,#VALUE
GECO000218,GECO000218
GECO000219,GECO000219
GECO000220,GECO000220
GECO000221,GECO000221
GECO000222,GECO000222
GECO000223,GECO000223
GECO000224,GECO000224
GECO000225,GECO000225
GECO000226,GECO000226
GECO000227,GECO000227
GECO000228,GECO000228
GECO000229,GECO000229
GECO000230,GECO000230
GECO000231,GECO000020
GECO000232,GECO000232
GECO000233,GECO000233
GECO000234,GECO000234
GECO000235,GECO000235
GECO000236,GECO000236
GECO000237,GECO000237
GECO000238,GECO000238
GECO000239,GECO000239
GECO000240,GECO000240
GECO000241,GECO000241
GECO000242,GECO000242
GECO000243,GECO000243
GECO000244,GECO000244
GECO000245,GECO000245
GECO000246,GECO000246
GECO000247,GECO000247
GECO000248,GECO000248
GECO000249,GECO000249
GECO000250,GECO000250
GECO000251,GECO000251
GECO000252,GECO000252
GECO000253,GECO000253
GECO000254,GECO000254
GECO000255,GECO000255
GECO000256,GECO000256
GECO000257,GECO000257
GECO000258,GECO000258
GECO000259,GECO000030
GECO000260,GECO000260
GECO000261,GECO000261
GECO000262,GECO000262
GECO000263,GECO000263
GECO000264,GECO000264
GECO000265,GECO000265
GECO000266,GECO000266
GECO000267,GECO000267
GECO000268,GECO000268
GECO000269,GECO000269
GECO000270,GECO000270
GECO000271,GECO000271
GECO000272,GECO000272
GECO000273,GECO000273
GECO000274,GECO000274
GECO000275,GECO000275
GECO000276,GECO000276
GECO000277,GECO000277
GECO000278,GECO000278
GECO000279,GECO000279
GECO000280,GECO000280
GECO000281,GECO000281
GECO000282,GECO000282
GECO000283,GECO000283
GECO000284,GECO000284
GECO000285,GECO000285
GECO000286,GECO000286
GECO000287,GECO000287
GECO000288,GECO000288
GECO000289,GECO000289
GECO000290,GECO000076
GECO000291,GECO000291
GECO000292,GECO000292
GECO000293,GECO000293
GECO000294,GECO000294
GECO000295,GECO000295
GECO000296,GECO000296
GECO000297,GECO000297
GECO000298,GECO000298
GECO000299,GECO000299
GECO000300,GECO000300
GECO000301,GECO000301
GECO000302,GECO000302
GECO000303,GECO000303
GECO000304,GECO000304
GECO000305,GECO000305
GECO000306,GECO000306
GECO000307,GECO000307
GECO000308,GECO000308
GECO000309,GECO000309
GECO000310,GECO000304
GECO000311,GECO000311
GECO000312,GECO000312
GECO000313,GECO000313
GECO000314,GECO000314
GECO000315,GECO000315
GECO000316,GECO000316
GECO000317,GECO000317
GECO000318,GECO000318
GECO000319,GECO000319
GECO000320,GECO000320
GECO000321,GECO000321
GECO000322,GECO000322
GECO000323,GECO000323
GECO000324,GECO000324
GECO000325,GECO000325
GECO000326,GECO000326
GECO000327,GECO000327
GECO000328,GECO000328
GECO000329,GECO000329
GECO000330,GECO000330
GECO000331,GECO000331
GECO000332,GECO000332
GECO000333,GECO000333
GECO000334,GECO000334
GECO000335,GECO000335
GECO000336,GECO000336
GECO000337,GECO000337
GECO000338,GECO000338
GECO000339,GECO000339
GECO000340,GECO000340
GECO000341,GECO000341
GECO000342,GECO000342
GECO000343,GECO000343
GECO000344,GECO000239
GECO000345,GECO000345
GECO000346,GECO000346
GECO000347,GECO000347
GECO000348,GECO000348
GECO000349,GECO000349
GECO000350,GECO000350
GECO000351,GECO000351
GECO000352,GECO000092
GECO000353,GECO000353
GECO000354,GECO000354
GECO000355,GECO000355
GECO000356,GECO000356
GECO000357,GECO000357
GECO000358,GECO000358
GECO000359,GECO000345
GECO000360,GECO000360
GECO000361,GECO000361
GECO000362,GECO000362
GECO000363,GECO000363
GECO000364,GECO000364
GECO000365,GECO000365
GECO000366,GECO000366
GECO000367,GECO000102
GECO000368,GECO000368
GECO000369,GECO000369
GECO000370,GECO000370
GECO000371,GECO000371
GECO000372,GECO000372
GECO000373,GECO000373
GECO000374,GECO000217
GECO000375,GECO000375
GECO000376,GECO000376
GECO000377,GECO000377
GECO000378,GECO000378
GECO000379,GECO000379
GECO000380,GECO000380
GECO000381,GECO000381
GECO000382,GECO000382
GECO000383,GECO000383
GECO000384,GECO000384
GECO000385,GECO000385
GECO000386,GECO000386
GECO000387,GECO000387
GECO000388,GECO000388
GECO000389,GECO000389
GECO000390,GECO000390
GECO000391,GECO000391
GECO000392,GECO000392
GECO000393,GECO000393
GECO000394,GECO000394
GECO000395,GECO000395
GECO000396,GECO000396
GECO000397,GECO000307
GECO000398,GECO000398
GECO000399,GECO000399
GECO000400,GECO000400
GECO000401,GECO000401
GECO000402,GECO000402
GECO000403,GECO000403
GECO000404,GECO000404
GECO000405,GECO000064
GECO000406,GECO000406
GECO000407,GECO000407
GECO000408,GECO000408
GECO000409,GECO000246
GECO000410,GECO000410
GECO000411,GECO000411
GECO000412,GECO000412
GECO000413,GECO000413
GECO000414,GECO000414
GECO000415,GECO000415
GECO000416,GECO000416
GECO000417,GECO000417
GECO000418,GECO000418
GECO000419,GECO000419
GECO000420,GECO000420
GECO000421,GECO000421
GECO000422,GECO000422
GECO000423,GECO000423
GECO000424,GECO000424
GECO000425,GECO000425
GECO000426,GECO000426
GECO000427,GECO000427
GECO000428,GECO000428
GECO000429,GECO000429
GECO000430,GECO000430
GECO000431,GECO000431
GECO000432,GECO000432
GECO000433,GECO000433
GECO000434,GECO000434
GECO000435,GECO000435
GECO000436,GECO000436
GECO000437,GECO000437
GECO000438,GECO000438
GECO000439,GECO000439
GECO000440,GECO000440
GECO000441,GECO000441
GECO000442,GECO000442
GECO000443,GECO000443
GECO000444,GECO000147
GECO000445,GECO000445
GECO000446,GECO000446
GECO000447,GECO000447
GECO000448,GECO000448
GECO000449,GECO000449
GECO000450,GECO000450
GECO000451,GECO000451
GECO000452,GECO000088
GECO000453,GECO000453
GECO000454,GECO000454
GECO000455,GECO000455
GECO000456,GECO000456
GECO000457,GECO000457
GECO000458,GECO000458
GECO000459,GECO000459
GECO000460,GECO000460
GECO000461,GECO000461
GECO000462,GECO000462
GECO000463,GECO000463
GECO000464,GECO000464
GECO000465,GECO000465
GECO000466,GECO000466
GECO000467,GECO000467
GECO000468,GECO000468
GECO000469,GECO000469
GECO000470,GECO000470
GECO000471,GECO000471
GECO000472,GECO000472
GECO000473,GECO000473
GECO000474,GECO000474
GECO000475,GECO000475
GECO000476,GECO000476
GECO000477,GECO000477
GECO000478,GECO000478
GECO000479,GECO000479
GECO000480,GECO000480
GECO000481,GECO000481
GECO000482,GECO000326
GECO000483,GECO000483
GECO000484,GECO000484
GECO000485,GECO000485
GECO000486,GECO000486
GECO000487,GECO000487
GECO000488,GECO000488
GECO000489,GECO000489
GECO000490,GECO000402
GECO000491,GECO000491
GECO000492,GECO000491
GECO000493,GECO000493
GECO000494,GECO000494
GECO000495,GECO000495
GECO000496,GECO000496
GECO000497,GECO000497
GECO000498,GECO000498
GECO000499,GECO000499
GECO000500,GECO000500
GECO000501,GECO000501
GECO000502,GECO000502
GECO000503,GECO000503
GECO000504,GECO000504
GECO000505,GECO000505
GECO000506,GECO000506
GECO000507,GECO000507
GECO000508,GECO000508
GECO000509,GECO000509
GECO000510,GECO000510
GECO000511,GECO000511
GECO000512,GECO000512
GECO000513,GECO000513
GECO000514,GECO000514
GECO000515,GECO000515
GECO000516,GECO000421
GECO000517,GECO000517
GECO000518,GECO000518
GECO000519,GECO000519
GECO000520,GECO000520
GECO000521,GECO000521
GECO000522,GECO000522
GECO000523,GECO000523
GECO000524,GECO000524
GECO000525,GECO000525
GECO000526,GECO000526
GECO000527,GECO000527
GECO000528,GECO000528
GECO000529,GECO000529
GECO000530,GECO000530
GECO000531,GECO000531
GECO000532,GECO000532
GECO000533,GECO000533
GECO000534,GECO000421
GECO000535,GECO000535
GECO000536,GECO000536
GECO000537,GECO000537
GECO000538,GECO000538
GECO000539,GECO000539
GECO000540,GECO000540
GECO000541,GECO000541
GECO000542,GECO000542
GECO000543,GECO000543
GECO000544,GECO000544
GECO000545,GECO000176
GECO000546,GECO000546
GECO000547,GECO000547
GECO000548,GECO000548
GECO000549,GECO000549
GECO000550,GECO000550
GECO000551,GECO000551
GECO000552,GECO000552
GECO000553,GECO000553
GECO000554,GECO000554
GECO000555,GECO000555
GECO000556,GECO000556
GECO000557,GECO000557
GECO000558,GECO000558
GECO000559,GECO000559
GECO000560,GECO000560
GECO000561,GECO000561
GECO000562,GECO000562
GECO000563,GECO000563
GECO000564,GECO000564
GECO000565,GECO000565
GECO000566,GECO000566
GECO000567,GECO000567
GECO000568,GECO000568
GECO000569,GECO000569
GECO000570,GECO000570
GECO000571,GECO000571
GECO000572,GECO000572
GECO000573,GECO000196
GECO000574,GECO000574
GECO000575,GECO000575
GECO000576,GECO000576
GECO000577,GECO000577
GECO000578,GECO000578
GECO000579,GECO000579
GECO000580,GECO000580
GECO000581,GECO000581
GECO000582,GECO000582
GECO000583,GECO000583
GECO000584,GECO000584
GECO000585,GECO000585
GECO000586,GECO000586
GECO000587,GECO000587
GECO000588,GECO000588
GECO000589,GECO000589
GECO000590,GECO000224
GECO000591,GECO000591
GECO000592,GECO000592
GECO000593,GECO000593
GECO000594,GECO000594
GECO000595,GECO000595
GECO000596,GECO000499
GECO000597,GECO000132
GECO000598,GECO000598
GECO000599,GECO000599
GECO000600,GECO000600
GECO000601,GECO000601
GECO000602,GECO000602
GECO000603,GECO000603
GECO000604,GECO000604
GECO000605,GECO000605
GECO000606,GECO000606
GECO000607,GECO000607
GECO000608,GECO000608
GECO000609,GECO000609
GECO000610,GECO000610
GECO000611,GECO000611
GECO000612,GECO000612
GECO000613,GECO000613
GECO000614,GECO000614
GECO000615,GECO000615
GECO000616,GECO000153
GECO000617,GECO000617
GECO000618,GECO000618
GECO000619,GECO000619
GECO000620,GECO000620
GECO000621,GECO000621
GECO000622,GECO000622
GECO000623,GECO000623
GECO000624,GECO000624
GECO000625,GECO000625
GECO000626,GECO000626
GECO000627,GECO000627
GECO000628,GECO000628
GECO000629,GECO000629
GECO000630,GECO000630
GECO000631,GECO000631
GECO000632,GECO000632
GECO000633,GECO000323
GECO000634,GECO000634
GECO000635,GECO000635
GECO000636,GECO000636
GECO000637,GECO000637
GECO000638,GECO000638
GECO000639,GECO000639
GECO000640,GECO000640
GECO000641,GECO000641
GECO000642,GECO000025
GECO000643,GECO000643
GECO000644,GECO000644
GECO000645,GECO000645
GECO000646,GECO000646
GECO000647,GECO000647
GECO000648,GECO000648
GECO000649,GECO000649
GECO000650,GECO000650
GECO000651,GECO000651
GECO000652,GECO000484
GECO000653,GECO000653
GECO000654,GECO000654
GECO000655,GECO000655
GECO000656,GECO000656
GECO000657,GECO000657
GECO000658,GECO000658
GECO000659,GECO000371
GECO000660,GECO000660
GECO000661,GECO000661
GECO000662,GECO000662
GECO000663,GECO000663
GECO000664,GECO000664
GECO000665,GECO000665
GECO000666,GECO000666
GECO000667,GECO000667
GECO000668,GECO000668
GECO000669,GECO000669
GECO000670,GECO000670
GECO000671,GECO000671
GECO000672,GECO000672
GECO000673,GECO000673
GECO000674,GECO000674
GECO000675,GECO000675
GECO000676,GECO000676
GECO000677,GECO000677
GECO000678,GECO000678
GECO000679,GECO000679
GECO000680,GECO000680
GECO000681,GECO000681
GECO000682,GECO000682
GECO000683,GECO000683
GECO000684,GECO000684
GECO000685,GECO000685
GECO000686,GECO000686
GECO000687,GECO000687
GECO000688,GECO000257
GECO000689,GECO000689
GECO000690,GECO000690
GECO000691,GECO000520
GECO000692,GECO000692
GECO000693,GECO000693
GECO000694,GECO000694
GECO000695,GECO000695
GECO000696,GECO000696
GECO000697,GECO000697
GECO000698,GECO000698
GECO000699,GECO000699
GECO000700,GECO000700
GECO000701,GECO000258
GECO000702,GECO000702
GECO000703,GECO000519
GECO000704,GECO000704
GECO000705,GECO000705
GECO000706,GECO000706
GECO000707,GECO000707
GECO000708,GECO000708
GECO000709,GECO000709
GECO000710,GECO000710
GECO000711,GECO000711
GECO000712,GECO000712
GECO000713,GECO000713
GECO000714,GECO000714
GECO000715,GECO000715
GECO000716,GECO000716
GECO000717,GECO000717
GECO000718,GECO000718
GECO000719,GECO000719
GECO000720,GECO000720
GECO000721,GECO000721
GECO000722,GECO000722
GECO000723,GECO000723
GECO000724,GECO000724
GECO000725,GECO000284
GECO000726,GECO000726
GECO000727,GECO000727
GECO000728,GECO000728
GECO000729,GECO000729
GECO000730,GECO000730
GECO000731,GECO000731
GECO000732,GECO000732
GECO000733,GECO000733
GECO000734,GECO000734
GECO000735,GECO000735
GECO000736,GECO000736
GECO000737,GECO000737
GECO000738,GECO000738
GECO000739,GECO000739
GECO000740,GECO000740
GECO000741,GECO000650
GECO000742,GECO000742
GECO000743,GECO000743
GECO000744,GECO000744
GECO000745,GECO000745
GECO000746,GECO000746
GECO000747,GECO000747
GECO000748,GECO000748
GECO000749,GECO000749
GECO000750,GECO000750
GECO000751,GECO000751
GECO000752,GECO000752
GECO000753,GECO000753
GECO000754,GECO000754
GECO000755,GECO000733
GECO000756,GECO000756
GECO000757,GECO000757
GECO000758,GECO000758
GECO000759,GECO000759
GECO000760,GECO000760
GECO000761,GECO000761
GECO000762,GECO000762
GECO000763,GECO000763
GECO000764,GECO000764
GECO000765,GECO000765
GECO000766,GECO000766
GECO000767,GECO000767
GECO000768,GECO000768
GECO000769,GECO000769
GECO000770,GECO000770
GECO000771,GECO000771
GECO000772,GECO000772
GECO000773,GECO000773
GECO000774,GECO000774
GECO000775,GECO000775
GECO000776,GECO000776
GECO000777,GECO000777
GECO000778,GECO000778
GECO000779,GECO000779
GECO000780,GECO000780
GECO000781,GECO000781
GECO000782,GECO000782
GECO000783,GECO000220
GECO000784,GECO000006
GECO000785,GECO000785
GECO000786,GECO000786
GECO000787,GECO000787
GECO000788,GECO000420
GECO000789,GECO000789
GECO000790,GECO000790
GECO000791,GECO000791
GECO000792,GECO000792
GECO000793,GECO000793
GECO000794,GECO000794
GECO000795,GECO000795
GECO000796,GECO000796
GECO000797,GECO000797
GECO000798,GECO000798
GECO000799,GECO000799
GECO000800,GECO000800
GECO000801,GECO000801
GECO000802,GECO000802
GECO000803,GECO000803
GECO000804,GECO000804
GECO000805,GECO000805
GECO000806,GECO000806
GECO000807,GECO000807
GECO000808,GECO000808
GECO000809,GECO000809
GECO000810,GECO000810
GECO000811,GECO000149
GECO000812,GECO000812
GECO000813,GECO000813
GECO000814,GECO000814
GECO000815,GECO000815
GECO000816,GECO000816
GECO000817,GECO000817
GECO000818,GECO000818
GECO000819,GECO000819
GECO000820,GECO000820
GECO000821,GECO000821
GECO000822,GECO000822
GECO000823,GECO000823
GECO000824,GECO000824
GECO000825,GECO000260
GECO000826,GECO000826
GECO000827,GECO000827
GECO000828,GECO000828
GECO000829,GECO000829
GECO000830,GECO000830
GECO000831,GECO000831
GECO000832,GECO000832
GECO000833,GECO000833
GECO000834,GECO000834
GECO000835,GECO000835
GECO000836,GECO000836
GECO000837,GECO000837
GECO000838,GECO000838
GECO000839,GECO000839
GECO000840,GECO000840
GECO000841,GECO000841
GECO000842,GECO000746
GECO000843,GECO000843
GECO000844,GECO000844
GECO000845,GECO000845
GECO000846,GECO000846
GECO000847,GECO000847
GECO000848,GECO000848
GECO000849,GECO000849
GECO000850,GECO000850
GECO000851,GECO000851
GECO000852,GECO000852
GECO000853,GECO000853
GECO000854,GECO000854
GECO000855,GECO000855
GECO000856,GECO000856
GECO000857,GECO000857
GECO000858,GECO000858
GECO000859,GECO000859
GECO000860,GECO000860
GECO000861,GECO000861
GECO000862,GECO000862
GECO000863,GECO000863
GECO000864,GECO000864
GECO000865,GECO000865
GECO000866,GECO000866
GECO000867,GECO000867
GECO000868,GECO000868
GECO000869,GECO000869
GECO000870,GECO000870
GECO000871,GECO000871
GECO000872,GECO000872
GECO000873,GECO000873
GECO000874,GECO000874
GECO000875,GECO000196
GECO000876,GECO000612
GECO000877,GECO000877
GECO000878,GECO000878
GECO000879,GECO000879
GECO000880,GECO000880
GECO000881,GECO000881
GECO000882,GECO000882
GECO000883,GECO000883
GECO000884,GECO000884
GECO000885,GECO000885
GECO000886,GECO000886
GECO000887,GECO000887
GECO000888,GECO000888
GECO000889,GECO000889
GECO000890,GECO000890
GECO000891,GECO000891
GECO000892,GECO000892
GECO000893,GECO000893
GECO000894,GECO000894
GECO000895,GECO000267
GECO000896,GECO000896
GECO000897,GECO000897
GECO000898,GECO000898
GECO000899,GECO000899
GECO000900,GECO000900
GECO000901,GECO000901
GECO000902,GECO000902
GECO000903,GECO000794
GECO000904,GECO000904
GECO000905,GECO000870
GECO000906,GECO000906
GECO000907,GECO000907
GECO000908,GECO000908
GECO000909,GECO000248
GECO000910,GECO000058
GECO000911,GECO000911
GECO000912,GECO000912
GECO000913,GECO000913
GECO000914,GECO000914
GECO000915,GECO000915
GECO000916,GECO000916
GECO000917,GECO000864
GECO000918,GECO000918
GECO000919,GECO000919
GECO000920,GECO000920
GECO000921,GECO000921
GECO000922,GECO000922
GECO000923,GECO000923
GECO000924,GECO000924
GECO000925,GECO000925
GECO000926,GECO000926
GECO000927,GECO000927
GECO000928,GECO000808
GECO000929,GECO000929
GECO000930,GECO000930
GECO000931,GECO000931
GECO000932,GECO000145
GECO000933,GECO000933
GECO000934,GECO000090
GECO000935,GECO000829
GECO000936,GECO000936
GECO000937,GECO000937
GECO000938,GECO000938
GECO000939,GECO000939
GECO000940,GECO000940
GECO000941,GECO000941
GECO000942,GECO000942
GECO000943,GECO000943
GECO000944,GECO000944
GECO000945,GECO000945
GECO000946,GECO000946
GECO000947,GECO000947
GECO000948,GECO000948
GECO000949,GECO000949
GECO000950,GECO000950
GECO000951,GECO000951
GECO000952,GECO000952
GECO000953,GECO000953
GECO000954,GECO000954
GECO000955,GECO000955
GECO000956,GECO000273
GECO000957,GECO000957
GECO000958,GECO000958
GECO000959,GECO000959
GECO000960,GECO000572
GECO000961,GECO000961
GECO000962,GECO000962
GECO000963,GECO000963
GECO000964,GECO000964
GECO000965,GECO000965
GECO000966,GECO000966
GECO000967,GECO000967
GECO000968,GECO000968
GECO000969,GECO000969
GECO000970,GECO000970
GECO000971,GECO000971
GECO000972,GECO000972
GECO000973,GECO000973
GECO000974,GECO000974
GECO000975,GECO000975
GECO000976,GECO000976
GECO000977,GECO000977
GECO000978,GECO000978
GECO000979,GECO000979
GECO000980,GECO000849
GECO000981,GECO000267
GECO000982,GECO000982
GECO000983,GECO000983
GECO000984,GECO000537
GECO000985,GECO000985
GECO000986,GECO000986
GECO000987,GECO000987
GECO000988,GECO000988
GECO000989,GECO000989
GECO000990,GECO000990
GECO000991,GECO000991
GECO000992,GECO000992
GECO000993,GECO000640
GECO000994,GECO000994
GECO000995,GECO000976
GECO000996,GECO000996
GECO000997,GECO000997
GECO000998,GECO000998
GECO000999,GECO000999
GECO001000,GECO001000
GECO001001,GECO001001
GECO001002,GECO001002
GECO001003,GECO001003
GECO001004,GECO001004
GECO001005,GECO000945
GECO001006,GECO001006
GECO001007,GECO001007
GECO001008,GECO001008
GECO001009,GECO001009
GECO001010,GECO001010
GECO001011,GECO001011
GECO001012,GECO001012
GECO001013,GECO001013
GECO001014,GECO001014
GECO001015,GECO001015
GECO001016,GECO001016
GECO001017,GECO000137
GECO001018,GECO001018
GECO001019,GECO000361
GECO001020,GECO001020
GECO001021,GECO001021
GECO001022,GECO001022
GECO001023,GECO001023
GECO001024,GECO001024
GECO001025,GECO001025
GECO001026,GECO001026
GECO001027,GECO000388
GECO001028,GECO001028
GECO001029,GECO001029
GECO001030,GECO001030
GECO001031,GECO001031
GECO001032,GECO000154
GECO001033,GECO001033
GECO001034,GECO001034
GECO001035,GECO001035
GECO001036,GECO001036
GECO001037,GECO001037
GECO001038,GECO001038
GECO001039,GECO001039
GECO001040,GECO001040
GECO001041,GECO001041
GECO001042,GECO001042
GECO001043,GECO001043
GECO001044,GECO001044
GECO001045,GECO001045
GECO001046,GECO001046
GECO001047,GECO001047
GECO001048,GECO000484
GECO001049,GECO001049
GECO001050,GECO001050
GECO001051,GECO001051
GECO001052,GECO000945
GECO001053,GECO000841
GECO001054,GECO001054
GECO001055,GECO001055
GECO001056,GECO001056
GECO001057,GECO001057
GECO001058,GECO001058
GECO001059,GECO001059
GECO001060,GECO000230
GECO001061,GECO001061
GECO001062,GECO001062
GECO001063,GECO001063
GECO001064,GECO001064
GECO001065,GECO001065
GECO001066,GECO001066
GECO001067,GECO001067
GECO001068,GECO000615
GECO001069,GECO001069
GECO001070,GECO001070
GECO001071,GECO001071
GECO001072,GECO001072
GECO001073,GECO001073
GECO001074,GECO001074
GECO001075,GECO000626
GECO001076,GECO001076
GECO001077,GECO000399
GECO001078,GECO001078
GECO001079,GECO001079
GECO001080,GECO000441
GECO001081,GECO001081
GECO001082,GECO000325
GECO001083,GECO000519
GECO001084,GECO000087
GECO001085,GECO001085
GECO001086,GECO001086
GECO001087,GECO001087
GECO001088,GECO000131
GECO001089,GECO001089
GECO001090,GECO001090
GECO001091,GECO001091
GECO001092,GECO001092
GECO001093,GECO001093
GECO001094,GECO001094
GECO001095,GECO001095
GECO001096,GECO001096
GECO001097,GECO001097
GECO001098,GECO001098
GECO001099,GECO001099
GECO001100,GECO001100
GECO001101,GECO001101
GECO001102,GECO001102
GECO001103,GECO000442
GECO001104,GECO001104
GECO001105,GECO001105
GECO001106,GECO001106
GECO001107,GECO001107
GECO001108,GECO001108
GECO001109,GECO001109
GECO001110,GECO001110
GECO001111,GECO001111
GECO001112,GECO001112
GECO001113,GECO000499
GECO001114,GECO000373
GECO001115,GECO001115
GECO001116,GECO001116
GECO001117,GECO001117
GECO001118,GECO001118
GECO001119,GECO001119
GECO001120,GECO001120
GECO001121,GECO001121
GECO001122,GECO001122
GECO001123,GECO001123
GECO001124,GECO001124
GECO001125,GECO000955
GECO001126,GECO001126
GECO001127,GECO000263
GECO001128,GECO001128
GECO001129,GECO001129
GECO001130,GECO001130
GECO001131,GECO001131
GECO001132,GECO001132
GECO001133,GECO001133
GECO001134,GECO001134
GECO001135,GECO001135
GECO001136,GECO001136
GECO001137,GECO000068
GECO001138,GECO001138
GECO001139,GECO001139
GECO001140,GECO001140
GECO001141,GECO001141
GECO001142,GECO001142
GECO001143,GECO001143
GECO001144,GECO001144
GECO001145,GECO001145
GECO001146,GECO001146
GECO001147,GECO000853
GECO001148,GECO001148
GECO001149,GECO001149
GECO001150,GECO001150
GECO001151,GECO001151
GECO001152,GECO001152
