RecID,Record
A045,Yujean Kang's 67 N. Raymond Ave. Pasadena 818-585-0855 Chinese
A046,Yujean Kang's Gourmet Chinese Cuisine 67 N. Raymond Ave. Los Angeles 818/585-0855 Asian
A047,21 Club 21 W. 52nd St. New York City 212-582-7200 American (New)
A048,21 Club 21 W. 52nd St. New York 212/582-7200 American
A049,Aquavit 13 W. 54th St. New York City 212-307-7311 Scandinavian
A050,Aquavit 13 W. 54th St. New York 212/307-7311 Continental
A051,Aureole 34 E. 61st St. New York City 212-319-1660 American (New)
A052,Aureole 34 E. 61st St. New York 212/ 319-1660 American
A053,BCafe Lalo 201 W. 83rd St. New York City 212-496-6031 Coffeehouses
A054,Caf&eacute; Lalo 201 W. 83rd St. New York 212/496-6031 Coffee Bar
A055,Cafe des Artistes 1 W. 67th St. New York City 212-877-3500 French (Classic)
A056,Caf&eacute; des Artistes 1 W. 67th St. New York 212/877-3500 Continental
A057,Carmine's 2450 Broadway New York City 212-362-2200 Italian
A058,Carmine's 2450 Broadway between 90th and 91st Sts. New York 212/362-2200 Italian
A059,Carnegie Deli 854 Seventh Ave. New York City 212-757-2245 Delis
A060,Carnegie Deli 854 7th Ave.  between 54th and 55th Sts. New York 212/757-2245 Delicatessen
A061,Chanterelle 2 Harrison St. New York City 212-966-6960 French (New)
A062,Chanterelle 2 Harrison St.  near Hudson St. New York 212/966-6960 American
A063,CDaniel 20 E. 76th St. New York City 212-288-0033 French (New)
A064,Daniel 20 E. 76th St. New York 212/288-0033 French
A065,Dawat 210 E. 58th St. New York City 212-355-7555 Indian
A066,Dawat 210 E. 58th St. New York 212/355-7555 Asian
A067,Felidia 243 E. 58th St. New York City 212-758-1479 Italian
A068,Felidia 243 E. 58th St. New York 212/758-1479 Italian
A069,Four Seasons 99 E. 52nd St. New York City 212-754-9494 American (New)
A070,Four Seasons Grill Room 99 E. 52nd St. New York 212/754-9494 American
A071,Gotham Bar & Grill 12 E. 12th St. New York City 212-620-4020 American (New)
A072,Gotham Bar & Grill 12 E. 12th St. New York 212/620-4020 American
A073,Gramercy Tavern 42 E. 20th St. New York City 212-477-0777 American (New)
A074,Gramercy Tavern 42 E. 20th St.  between Park Ave. S and Broadway New York 212/477-0777 American
A075,Island Spice 402 W. 44th St. New York City 212-765-1737 Caribbean
A076,Island Spice 402 W. 44th St. New York 212/765-1737 tel Caribbean
A077,Jo Jo 160 E. 64th St. New York City 212-223-5656 French Bistro
A078,Jo Jo 160 E. 64th St. New York 212/223-5656 American
A079,La Caravelle 33 W. 55th St. New York City 212-586-4252 French (Classic)
A080,La Caravelle 33 W. 55th St. New York 212/586-4252 French
A081,La Cote Basque 60 W. 55th St. New York City 212-688-6525 French (Classic)
A082,La Cote Basque 60 W. 55th St.  between 5th and 6th Ave. New York 212/688-6525 French
A083,Le Bernardin 155 W. 51st St. New York City 212-489-1515 Seafood
A084,Le Bernardin 155 W. 51st St. New York 212/489-1515 French
A085,Les Celebrites 155 W. 58th St. New York City 212-484-5113 French (Classic)
A086,Les C&eacute;l&eacute;brit&eacute;s 160 Central Park S New York 212/484-5113 French
A087,Lespinasse (New York City) 2 E. 55th St. New York City 212-339-6719 Asian
A088,Lespinasse 2 E. 55th St. New York 212/339-6719 American
A089,Lutece 249 E. 50th St. New York City 212-752-2225 French (Classic)
A090,Lut&egrave;ce 249 E. 50th St. New York 212/752-2225 French
A091,Manhattan Ocean Club 57 W. 58th St. New York City 212-371-7777 Seafood
A092,Manhattan Ocean Club 57 W. 58th St. New York 212/ 371-7777 Seafood
A093,March 405 E. 58th St. New York City 212-754-6272 American (New)
A094,March 405 E. 58th St. New York 212/754-6272 American
A095,Mesa Grill 102 Fifth Ave. New York City 212-807-7400 Southwestern
A096,Mesa Grill 102 5th Ave.  between 15th and 16th Sts. New York 212/807-7400 American
A097,Mi Cocina 57 Jane St. New York City 212-627-8273 Mexican
A098,Mi Cocina 57 Jane St.  off Hudson St. New York 212/627-8273 Mexican
A099,Montrachet 239 W. Broadway New York City 212-219-2777 French Bistro
A100,Montrachet 239 W. Broadway between Walker and White Sts. New York 212/ 219-2777 French
A101,Oceana 55 E. 54th St. New York City 212-759-5941 Seafood
A102,Oceana 55 E. 54th St. New York 212/759-5941 Seafood
A103,Park Avenue Cafe (New York City) 100 E. 63rd St. New York City 212-644-1900 American (New)
A104,Park Avenue Cafe 100 E. 63rd St. New York 212/644-1900 American
A105,Petrossian 182 W. 58th St. New York City 212-245-2214 Russian
A106,Petrossian 182 W. 58th St. New York 212/245-2214 French
A107,Picholine 35 W. 64th St. New York City 212-724-8585 Mediterranean
A108,Picholine 35 W. 64th St. New York 212/724-8585 Mediterranean
A109,Pisces 95 Ave. A New York City 212-260-6660 Seafood
A110,Pisces 95 Ave. A at 6th St. New York 212/260-6660 Seafood
A111,Rainbow Room 30 Rockefeller Plaza New York City 212-632-5000 American (New)
A112,Rainbow Room 30 Rockefeller Plaza New York 212/632-5000 or 212/632-5100 American
A113,River Cafe 1 Water St. Brooklyn 718-522-5200 American (New)
A114,River Caf&eacute; 1 Water St. at the East River Brooklyn 718/522-5200 American
A115,San Domenico 240 Central Park S. New York City 212-265-5959 Italian
A116,San Domenico 240 Central Park S New York 212/265-5959 Italian
A117,Second Avenue Deli 156 Second Ave. New York City 212-677-0606 Delis
A118,Second Avenue Deli 156 2nd Ave. at 10th St. New York 212/677-0606 Delicatessen
A119,Seryna 11 E. 53rd St. New York City 212-980-9393 Japanese
A120,Seryna 11 E. 53rd St. New York 212/980-9393 Asian
A121,Shun Lee Palace 155 E. 55th St. New York City 212-371-8844 Chinese
A122,Shun Lee West 43 W. 65th St. New York 212/371-8844 Asian
A123,Sign of the Dove 1110 Third Ave. New York City 212-861-8080 American (New)
A124,Sign of the Dove 1110 3rd Ave. at 65th St. New York 212/861-8080 American
A125,Smith & Wollensky 797 Third Ave. New York City 212-753-1530 Steakhouses
A126,Smith & Wollensky 201 E. 49th St. New York 212/753-1530 American
A127,Tavern on the Green Central Park West New York City 212-873-3200 American (New)
A128,Tavern on the Green In Central Park at 67th St. New York 212/873-3200 American
A129,Uncle Nick's 747 Ninth Ave. New York City 212-245-7992 Greek
A130,Uncle Nick's 747 9th Ave.  between 50th and 51st Sts. New York 212/315-1726 Mediterranean
A131,Union Square Cafe 21 E. 16th St. New York City 212-243-4020 American (New)
A132,Union Square Cafe 21 E. 16th St. New York 212/243-4020 American
A133,Virgil's Real BBQ 152 W. 44th St. New York City 212-921-9494 BBQ
A134,Virgil's 152 W. 44th St. New York 212/ 921-9494 American
A135,Chin's 3200 Las Vegas Blvd. S. Las Vegas 702-733-8899 Chinese
A136,Chin's 3200 Las Vegas Blvd. S Las Vegas 702/733-8899 Asian
A137,Coyote Cafe (Las Vegas) 3799 Las Vegas Blvd. S. Las Vegas 702-891-7349 Southwestern
A138,Coyote Caf&eacute; 3799 Las Vegas Blvd. S Las Vegas 702/891-7349 Southwestern
A139,Le Montrachet Bistro 3000 Paradise Rd. Las Vegas 702-732-5651 French Bistro
A140,Le Montrachet 3000 W. Paradise Rd. Las Vegas 702/732-5111 Continental
A141,Palace Court 3570 Las Vegas Blvd. S. Las Vegas 702-731-7110 French (New)
A142,Palace Court 3570 Las Vegas Blvd. S Las Vegas 702/731-7547 Continental
A143,Second Street Grill 200 E. Fremont St. Las Vegas 702-385-6277 Pacific Rim
A144,Second Street Grille 200 E. Fremont St. Las Vegas 702/385-3232 Seafood
A145,Steak House The 2880 Las Vegas Blvd. S. Las Vegas 702-734-0410 Steakhouses
A146,Steak House 2880 Las Vegas Blvd. S Las Vegas 702/734-0410 Steak Houses
A147,Tillerman The 2245 E. Flamingo Rd. Las Vegas 702-731-4036 Steakhouses
A148,Tillerman 2245 E. Flamingo Rd. Las Vegas 702/731-4036 Seafood
A149,Abruzzi 2355 Peachtree Rd. NE Atlanta 404-261-8186 Italian
A150,Abruzzi 2355 Peachtree Rd.  Peachtree Battle Shopping Center Atlanta 404/261-8186 Italian
A151,Bacchanalia 3125 Piedmont Rd. Atlanta 404-365-0410 Californian
A152,Bacchanalia 3125 Piedmont Rd.  near Peachtree Rd. Atlanta 404/365-0410 International
A153,Bone's Restaurant 3130 Piedmont Rd. NE Atlanta 404-237-2663 Steakhouses
A154,Bone's 3130 Piedmont Road Atlanta 404/237-2663 American
A155,Brasserie Le Coze 3393 Peachtree Rd. Atlanta 404-266-1440 French Bistro
A156,Brasserie Le Coze 3393 Peachtree Rd.  Lenox Square Mall  near Neiman Marcus Atlanta 404/266-1440 French
A157,Buckhead Diner 3073 Piedmont Rd. Atlanta 404-262-3336 American (New)
A158,Buckhead Diner 3073 Piedmont Road Atlanta 404/262-3336 American
A159,Ciboulette Restaurant 1529 Piedmont Ave. Atlanta 404-874-7600 French (New)
A160,Ciboulette 1529 Piedmont Ave. Atlanta 404/874-7600 French
A161,Delectables 1 Margaret Mitchell Sq. Atlanta 404-681-2909 Cafeterias
A162,Delectables 1 Margaret Mitchell Sq. Atlanta 404/681-2909 American
A163,Georgia Grille 2290 Peachtree Rd. Atlanta 404-352-3517 Southwestern
A164,Georgia Grille 2290 Peachtree Rd.  Peachtree Square Shopping Center Atlanta 404/352-3517 American
A165,GHedgerose Heights Inn The 490 E. Paces Ferry Rd. NE Atlanta 404-233-7673 Continental
A166,Hedgerose Heights Inn 490 E. Paces Ferry Rd. Atlanta 404/233-7673 International
A167,Heera of India 595 Piedmont Ave. Atlanta 404-876-4408 Indian
A168,Heera of India 595 Piedmont Ave.  Rio Shopping Mall Atlanta 404/876-4408 Asian
A169,Indigo Coastal Grill 1397 N. Highland Ave. Atlanta 404-876-0676 Eclectic
A170,Indigo Coastal Grill 1397 N. Highland Ave. Atlanta 404/876-0676 Caribbean
A171,La Grotta 2637 Peachtree Rd. NE Atlanta 404-231-1368 Italian
A172,La Grotta 2637 Peachtree Rd.  Peachtree House Condominium Atlanta 404/231-1368 Italian
A173,Mary Mac's Tea Room 224 Ponce de Leon Ave. Atlanta 404-876-1800 Southern/Soul
A174,Mary Mac's Tea Room 224 Ponce de Leon Ave. Atlanta 404/876-1800 Southern
A175,Nikolai's Roof 255 Courtland St. Atlanta 404-221-6362 Continental
A176,Nikolai's Roof 255 Courtland St.  at Harris St. Atlanta 404/221-6362 Continental
A177,Pano's & Paul's 1232 W. Paces Ferry Rd. Atlanta 404-261-3662 American (New)
A178,Pano's and Paul's 1232 W. Paces Ferry Rd. Atlanta 404/261-3662 International
A179,Ritz-Carlton Cafe (Buckhead) 3434 Peachtree Rd. NE Atlanta 404-237-2700 American (New)
A180,Ritz-Carlton Dining Room (Buckhead) 3434 Peachtree Rd. NE Atlanta 404-237-2700 American (New)
A181,Ritz-Carlton Dining Room (Buckhead) 3434 Peachtree Rd. NE Atlanta 404-237-2700 American (New)
A182,Dining Room Ritz-Carlton  Buckhead 3434 Peachtree Rd. Atlanta 404/237-2700 International
A183,Ritz-Carlton Restaurant 181 Peachtree St. Atlanta 404-659-0400 French (Classic)
A184,Restaurant Ritz-Carlton  Atlanta 181 Peachtree St. Atlanta 404/659-0400 Continental
A185,Toulouse 293-B Peachtree Rd. Atlanta 404-351-9533 French (New)
A186,Toulouse B Peachtree Rd. Atlanta 404/351-9533 French
A187,Veni Vidi Vici 41 14th St. Atlanta 404-875-8424 Italian
A188,Veni Vidi Vici 41 14th St. Atlanta 404/875-8424 Italian
A189,Alain Rondelli 126 Clement St. San Francisco 415-387-0408 French (New)
A190,Alain Rondelli 126 Clement St. San Francisco 415/387-0408 French
A191,Aqua 252 California St. San Francisco 415-956-9662 American (New)
A192,Aqua 252 California St. San Francisco 415/956-9662 Seafood
A193,Boulevard 1 Mission St. San Francisco 415-543-6084 American (New)
A194,Boulevard 1 Mission St. San Francisco 415/543-6084 American
A195,Cafe Claude 7 Claude Ln. San Francisco 415-392-3505 French Bistro
A196,Caf&eacute; Claude 7 Claude La. San Francisco 415/392-3505 French
A197,Campton Place 340 Stockton St. San Francisco 415-955-5555 American (New)
A198,Campton Place 340 Stockton St. San Francisco 415/955-5555 American
A199,Chez Michel 804 North Point St. San Francisco 415-775-7036 Californian
A200,Chez Michel 804 Northpoint San Francisco 415/775-7036 French
A201,Fleur de Lys 777 Sutter St. San Francisco 415-673-7779 French (New)
A202,Fleur de Lys 777 Sutter St. San Francisco 415/673-7779 French
A203,Fringale 570 Fourth St. San Francisco 415-543-0573 French Bistro
A204,Fringale 570 4th St. San Francisco 415/543-0573 French
A205,Hawthorne Lane 22 Hawthorne St. San Francisco 415-777-9779 Californian
A206,Hawthorne Lane 22 Hawthorne St. San Francisco 415/777-9779 American
A207,Khan Toke Thai House 5937 Geary Blvd. San Francisco 415-668-6654 Thai
A208,Khan Toke Thai House 5937 Geary Blvd. San Francisco 415/668-6654 Asian
A209,La Folie 2316 Polk St. San Francisco 415-776-5577 French (New)
A210,La Folie 2316 Polk St. San Francisco 415/776-5577 French
A211,LuLu Restaurant-Bis-Cafe 816 Folsom St. San Francisco 415-495-5775 Mediterranean
A212,LuLu 816 Folsom St. San Francisco 415/495-5775 Mediterranean
A213,Masa's 648 Bush St. San Francisco 415-989-7154 French (New)
A214,Masa's 648 Bush St. San Francisco 415/989-7154 French
A215,Mifune 1737 Post St. San Francisco 415-922-0337 Japanese
A216,Mifune Japan Center Kintetsu Building 1737 Post St. San Francisco 415/922-0337 Asian
A217,PlumpJack Cafe 3127 Fillmore St. San Francisco 415-563-4755 American (New)
A218,PlumpJack Caf&eacute; 3201 Fillmore St. San Francisco 415/563-4755 Mediterranean
A219,Postrio 545 Post St. San Francisco 415-776-7825 Californian
A220,Postrio 545 Post St. San Francisco 415/776-7825 American
A221,Ritz-Carlton Dining Room (San Francisco) 600 Stockton St. San Francisco 415-296-7465 French (New)
A222,Ritz-Carlton Restaurant and Dining Room 600 Stockton St. San Francisco 415/296-7465 American
A223,Rose Pistola 532 Columbus Ave. San Francisco 415-399-0499 Italian
A224,Rose Pistola 532 Columbus Ave. San Francisco 415/399-0499 Italian
A225,Cafeacute desAdriano's Ristorante 2930 Beverly Glen Circle Los Angeles 310-475-9807 Italian
A226,Barney Greengrass 9570 Wilshire Blvd. Beverly Hills 310-777-5877 American
A227,Beaurivage 26025 Pacific Coast Hwy. Malibu 310-456-5733 French
A228,Bistro Garden 176 N. Canon Dr. Los Angeles 310-550-3900 Californian
A229,Border Grill 4th St. Los Angeles 310-451-1655 Mexican
A230,Broadway Deli 3rd St. Promenade Santa Monica 310-451-0616 American
A231,Ca'Brea 346 S. La Brea Ave. Los Angeles 213-938-2863 Italian
A232,Ca'del Sol 4100 Cahuenga Blvd. Los Angeles 818-985-4669 Italian
A233,Cafe Pinot 700 W. Fifth St. Los Angeles 213-239-6500 Californian
A234,California Pizza Kitchen 207 S. Beverly Dr. Los Angeles 310-275-1101 Californian
A235,Canter's 419 N. Fairfax Ave. Los Angeles 213-651-2030. American
A236,Cava 3rd St. Los Angeles 213-658-8898 Mediterranean
A237,Cha Cha Cha 656 N. Virgil Ave. Los Angeles 213-664-7723 Caribbean
A238,Chan Dara 310 N. Larchmont Blvd. Los Angeles 213-467-1052 Asian
A239,Clearwater Cafe 168 W. Colorado Blvd. Los Angeles 818-356-0959 Health Food
A240,Dining Room 9500 Wilshire Blvd. Los Angeles 310-275-5200 Californian
A241,Dive 10250 Santa Monica Blvd. Los Angeles 310-788-DIVE American
A242,Drago 2628 Wilshire Blvd. Santa Monica 310-828-1585 Italian
A243,Drai's 730 N. La Cienega Blvd. Los Angeles 310-358-8585 French
A244,Dynasty Room 930 Hilgard Ave. Los Angeles 310-208-8765 Continental
A245,Eclipse 8800 Melrose Ave. Los Angeles 310-724-5959 Californian
A246,Ed Debevic's 134 N. La Cienega Los Angeles 310-659-1952 American
A247,El Cholo 1121 S. Western Ave. Los Angeles 213-734-2773 Mexican
A248,Gilliland's 2424 Main St. Santa Monica 310-392-3901 American
A249,Gladstone's 4 Fish 17300 Pacific Coast Hwy. at Sunset Blvd. Pacific Palisades 310-454-3474 American
A250,Hard Rock Cafe 8600 Beverly Blvd. Los Angeles 310-276-7605 American
A251,Harry's Bar American Grill 2020 Ave. of the Stars Los Angeles 310-277-2333 Italian
A252,Il Fornaio Cucina Italiana 301 N. Beverly Dr. Los Angeles 310-550-8330 Italian
A253,Jack Sprat's Grill 10668 W. Pico Blvd. Los Angeles 310-837-6662 Health Food
A254,Jackson's Farm 439 N. Beverly Drive Los Angeles 310-273-5578 Californian
A255,Jimmy's 201 Moreno Dr. Los Angeles 310-552-2394 Continental
A256,Joss 9255 Sunset Blvd. Los Angeles 310-276-1886 Asian
A257,Le Colonial 8783 Beverly Blvd. Los Angeles 310-289-0660 Asian
A258,Le Dome 8720 Sunset Blvd. Los Angeles 310-659-6919 French
A259,Louise's Trattoria 4500 Los Angeles Feliz Blvd. Los Angeles 213-667-0777 Italian
A260,Mon Kee Seafood Restaurant 679 N. Spring St. Los Angeles 213-628-6717 Asian
A261,Morton's 8764 Melrose Ave. Los Angeles 310-276-5205 American
A262,Nate n Al's 414 N. Beverly Dr. Los Angeles 310-274-0101 American
A263,Nicola 601 S. Figueroa St. Los Angeles 213-485-0927 American
A264,Ocean Avenue 1401 Ocean Ave. Santa Monica 310-394-5669 American
A265,Orleans 11705 National Blvd. Los Angeles 310-479-4187 Cajun
A266,Pacific Dining Car 6th St. Los Angeles 213-483-6000 American
A267,Paty's 10001 Riverside Dr. Toluca Lake 818-761-9126 American
A268,Pinot Hollywood 1448 N. Gower St. Los Angeles 213-461-8800 Californian
A269,Posto 14928 Ventura Blvd. Sherman Oaks 818-784-4400 Italian
A270,Prego 362 N. Camden Dr. Los Angeles 310-277-7346 Italian
A271,RJ'S the Rib Joint 252 N. Beverly Dr. Los Angeles 310-274-7427 American
A272,Remi 3rd St. Promenade Santa Monica 310-393-6545 Italian
A273,Restaurant Horikawa 111 S. San Pedro St. Los Angeles 213-680-9355 Asian
A274,Roscoe's House of Chicken n Waffles 1514 N. Gower St. Los Angeles 213-466-9329 American
A275,Schatzi on Main 3110 Main St. Los Angeles 310-399-4800 Continental
A276,Sofi 3rd St. Los Angeles 213-651-0346 Mediterranean
A277,Swingers 8020 Beverly Blvd. Los Angeles 213-653-5858 American
A278,Tavola Calda 7371 Melrose Ave. Los Angeles 213-658-6340 Italian
A279,The Mandarin 430 N. Camden Dr. Los Angeles 310-859-0926 Asian
A280,Tommy Tang's 7313 Melrose Ave. Los Angeles 213-937-5733 Asian
A281,Tra di Noi 3835 Cross Creek Rd. Los Angeles 310-456-0169 Italian
A282,Trader Vic's 9876 Wilshire Blvd. Los Angeles 310-276-6345 Asian
A283,Vida 1930 North Hillhurst Ave. Los Angeles Feliz 213-660-4446 American
A284,West Beach Cafe 60 N. Venice Blvd. Los Angeles 310-823-5396 American
A285,20 Mott 20 Mott St. between Bowery and Pell St. New York 212-964-0380 Asian
A286,9 Jones Street 9 Jones St. New York 212-989-1220 American
A287,Adrienne 700 5th Ave. at 55th St. New York 212-903-3918 French
A288,Agrotikon 322 E. 14 St. between 1st and 2nd Aves. New York 212-473-2602 Mediterranean
A289,Aja 937 Broadway at 22nd St. New York 212-473-8388 American
A290,Alamo 304 E. 48th St. New York 212- 759-0590 Mexican
A291,Alley's End 311 W. 17th St. New York 212-627-8899 American
A292,Ambassador Grill 1 United Nations Plaza at 44th St. New York 212-702-5014 American
A293,American Place 2 Park Ave. at 32nd St. New York 212-684-2122 American
A294,Anche Vivolo 222 E. 58th St. between 2nd and 3rd Aves. New York 212-308-0112 Italian
A295,Arizona 206 206 E. 60th St. New York 212-838-0440 American
A296,Arturo's 106 W. Houston St. off Thompson St. New York 212-677-3820 Italian
A297,Au Mandarin 200-250 Vesey St. World Financial Center New York 212-385-0313 Asian
A298,Bar Anise 1022 3rd Ave. between 60th and 61st Sts. New York 212-355-1112 Mediterranean
A299,Barbetta 321 W. 46th St. New York 212-246-9171 Italian
A300,Ben Benson's 123 W. 52nd St. New York 212-581-8888 American
A301,Big Cup 228 8th Ave. between 21st and 22nd Sts. New York 212-206-0059 Coffee Bar
A302,Billy's 948 1st Ave. between 52nd and 53rd Sts. New York 212-753-1870 American
A303,Boca Chica 13 1st Ave. near 1st St. New York 212-473-0108 Latin American
A304,Bolo 23 E. 22nd St. New York 212-228-2200 Mediterranean
A305,Boonthai 1393A 2nd Ave. between 72nd and 73rd Sts. New York 212-249-8484 Asian
A306,Bouterin 420 E. 59th St. off 1st Ave. New York 212-758-0323 French
A307,Brothers Bar-B-Q 225 Varick St. at Clarkston St. New York 212-727-2775 American
A308,Bruno 240 E. 58th St. New York 212-688-4190 Italian
A309,Bryant Park Grill Roof Restaurant and BP Cafe 25 W. 40th St. between 5th and 6th Aves.
A310,C3 103 Waverly Pl. near Washington Sq. New York 212-254-1200 American
A311,CT 111 E. 22nd St. between Park Ave. S and Lexington Ave. New York 212-995-8500 French
A312,Cafeacute Bianco 1486 2nd Ave. between 77th and 78th Sts. New York 212-988-2655 Coffee Bar
A313,Cafeacute Botanica 160 Central Park S New York 212-484-5120 French
A314,Cafeacute La Fortuna 69 W. 71st St. New York 212-724-5846 Coffee Bar
A315,Cafeacute Luxembourg 200 W. 70th St. New York 212-873-7411 French
A316,Cafeacute Pierre 2 E. 61st St. New York 212-940-8185 French
A317,Cafe Centro 200 Park Ave. between 45th St. and Vanderbilt Ave. New York 212-818-1222 French
A318,Cafe Fes 246 W. 4th St. at Charles St. New York 212-924-7653 Mediterranean
A319,Caffegrave Dante 81 Macdougal St. between Houston and Bleeker Sts. New York 212-982-5275 Coffee Bar
A320,Caffegrave Dell'Artista 46 Greenwich Ave. New York 212-645-4431 Coffee Bar
A321,Caffegrave Lure 169 Sullivan St. between Houston and Bleecker Sts. New York 212-473-2642 French
A322,Caffegrave Reggio 119 MacDougal St. between 3rd and Bleecker Sts. New York 212-475-9557 Coffee Bar
A323,Caffegrave Roma 385 Broome St. at Mulberry New York 212-226-8413 Coffee Bar
A324,Caffegrave Vivaldi 32 Jones St. at Bleecker St. New York 212-691-7538 Coffee Bar
A325,Caffe Bondi Ristorante 7 W. 20th St. New York 212-691-8136 Italian
A326,Capsouto Fregraveres 451 Washington St. near Watts St. New York 212-966-4900 French
A327,Captain's Table 860 2nd Ave. at 46th St. New York 212-697-9538 Seafood
A328,Casa La Femme 150 Wooster St. between Houston and Prince Sts. New York 212-505-0005 Middle Eastern
A329,Cendrillon Asian Grill Marimba Bar 45 Mercer St. between Broome and Grand Sts. New York 212-343-9012
A330,Chez Jacqueline 72 MacDougal St. between W. Houston and Bleecker Sts. New York 212-505-0727 French
A331,Chiam 160 E. 48th St. New York 212-371-2323 Asian
A332,China Grill 60 W. 53rd St. New York 212-333-7788 American
A333,Citeacute 120 W. 51st St. New York 212-956-7100 French
A334,Coco Pazzo 23 E. 74th St. New York 212-794-0205 Italian
A335,Columbus Bakery 53rd Sts. New York 212-421-0334 Coffee Bar
A336,Corrado Cafeacute 1013 3rd Ave. between 60th and 61st Sts. New York 212-753-5100 Coffee Bar
A337,Cupcake Cafeacute 522 9th Ave. at 39th St. New York 212-465-1530 Coffee Bar
A338,Da Nico 164 Mulberry St. between Grand and Broome Sts. New York 212-343-1212 Italian
A339,Dean Deluca 121 Prince St. New York 212-254-8776 Coffee Bar
A340,Diva 341 W. Broadway near Grand St. New York 212-941-9024 Italian
A341,Dix et Sept 181 W. 10th St. New York 212-645-8023 French
A342,Docks 633 3rd Ave. at 40th St. New York 212- 986-8080 Seafood
A343,Duane Park Cafeacute 157 Duane St. between W. Broadway and Hudson St. New York 212-732-5555 American
A344,El Teddy's 219 W. Broadway between Franklin and White Sts. New York 212-941-7070 Mexican
A345,Emily's 1325 5th Ave. at 111th St. New York 212-996-1212 American
A346,Empire Korea 6 E. 32nd St. New York 212-725-1333 Asian
A347,Ernie's 2150 Broadway between 75th and 76th Sts. New York 212-496-1588 American
A348,Evergreen Cafe 1288 1st Ave. at 69th St. New York 212-744-3266 Asian
A349,F. Ille Ponte Ristorante 39 Desbrosses St. near West St. New York 212-226-4621 Italian
A350,Felix 340 W. Broadway at Grand St. New York 212-431-0021 French
A351,Ferrier 29 E. 65th St. New York 212-772-9000 French
